timestamp,tilt X,tilt Y,alpha,beta,xC_det4,yC_det4,Centroid_det4,xC_det5,yC_det5,Centroid_det5,xC_det14,yC_det14,Centroid_det14
2024-099-00:08:22.300000000,0.00232647402865342,89.8815958537242,0.118427,178.874363,-0.0129283690764546,-0.0561538887043168,0.0576229289744441,5.90603578724561e-05,0.0631216875799141,0.0631217152100777,-0.00723976067415621,-0.00949727671190351,0.0119420433578816
2024-099-00:08:22.400000000,0.00260282494199251,89.864575010375,0.13545,178.898928,0.00490223425124061,-0.0622816505261444,0.0624742818519335,0.000386284691321123,0.0540054744295558,0.0540068559001924,-0.008025870934878,-0.0156458643739609,0.0175843019842045
2024-099-00:08:22.500000000,0.00273318998019675,89.8509770621905,0.149048,178.94927,0.0218149845937488,-0.0684251603625345,0.0718184942996166,0.0016588186997117,0.0470587732630442,0.0470880008123207,-0.00856533607266384,-0.0181319445993583,0.0200532390648462
2024-099-00:08:22.600000000,0.00291455782342717,89.8400925588637,0.159934,178.955811,-0.00445535958455389,-0.0779808330395019,0.0781080056752338,0.00120393708233481,0.0391759197674577,0.0391944148332961,-0.00864171037483523,-0.0227086061086284,0.0242973239184765
2024-099-00:08:22.700000000,0.00278921466789653,89.8506160370081,0.14941,178.930328,0.00428074587358935,-0.072592234907332,0.0727183426246468,0.00146537906852982,0.0327324396292491,0.0327652245512971,-0.00923378256638306,-0.0236539278667064,0.0253923422315979
2024-099-00:08:22.800000000,0.00219849068056601,89.9011604474943,0.098864,178.725778,-0.00847065365838614,-0.0415780982721258,0.0424321838859006,0.000946888722159643,0.0289015472765508,0.0289170543664263,-0.0091037763441504,-0.0241793505951765,0.0258364033667377
2024-099-00:08:22.900000000,0.00148178815107607,89.9637152438458,0.036315,177.661468,-0.0133494719301088,0.00205638978753144,0.0135069293242775,0.000215339832343392,0.0276897802246659,0.0276906175469904,-0.0088295652393664,-0.0289088821299647,0.0302272176741496
2024-099-00:08:23.000000000,0.00101502495864513,90.0099151809537,0.009967,5.845053,-0.0129542000396418,-0.0069302211614256,0.0146914690896904,-0.000434685734366054,0.026235204555056,0.0262388054174212,-0.00860460912192752,-0.033008933692796,0.0341120067084387
2024-099-00:08:23.100000000,0.000805279354877382,90.0447287516179,0.044736,1.03142,-0.0109868633740052,0.0153106945893493,0.0188448543535732,-0.000818161285516281,0.0257924069734024,0.0258053801632671,-0.00806690028244247,-0.0406929391954198,0.0414848186753781
2024-099-00:08:23.200000000,0.000728429009911664,90.0728983607186,0.072902,0.572503,-0.00163942088999155,0.0236251157304938,0.0236819296961579,-0.000808273149527013,0.0259183912160486,0.0259309912790157,-0.0078988619341576,-0.0413048297621188,0.0420533111839306
2024-099-00:08:23.300000000,0.000770057622475765,90.0956569004924,0.09566,0.461233,0.00682126974496073,0.0418949075912345,0.0424465900045174,-0.000434205706370796,0.0268402379797751,0.0268437499132742,-0.00798650918253328,-0.0426801785888431,0.0434209854022019
2024-099-00:08:23.400000000,0.000853602374404806,90.1138447999161,0.113848,0.429593,0.0132390609633261,0.0567020435376485,0.0582270940073094,0.000181729455826219,0.0281943126438115,0.0281948983160448,-0.00833724314646224,-0.0382512732845086,0.0391493235084515
2024-099-00:08:23.500000000,0.000978900138573323,90.1282852652377,0.128289,0.437196,0.00800272240374047,0.0676364926688576,0.0681082866207612,0.000513316645554263,0.0297078632979576,0.029712297718432,-0.00844536248576635,-0.0364980878030538,0.0374624420025632
2024-099-00:08:23.600000000,0.00110329703066772,90.1400026527859,0.140007,0.451513,-0.000194647821232545,0.0585600831367957,0.0585604066307837,0.000545721683529015,0.031147848236586,0.0311526284914334,-0.00837565679476824,-0.036868811763248,0.037808212171135
2024-099-00:08:23.700000000,0.00122864767306575,90.1492079414686,0.149213,0.47179,-0.0141020531946326,0.0728560905465592,0.0742083407308955,8.17125272543183e-05,0.0326214898158887,0.0326215921552772,-0.00781721397546365,-0.039190553998846,0.0399625869667449
2024-099-00:08:23.800000000,0.00135266960381413,90.1565981580527,0.156604,0.4949,-0.0140743569923915,0.0800040983427602,0.0812326490789714,-0.0004152756944253,0.0344943367028279,0.0344968363545187,-0.00730833197206569,-0.0376755121919389,0.0383778052412961
2024-099-00:08:23.900000000,0.00158439417502579,90.1737017742678,0.173709,0.522601,-0.000428726646755718,0.0741264614765939,0.0741277012835188,-0.000354692358369589,0.0359839234419281,0.0359856714949663,-0.00727049918534446,-0.0361102772806989,0.036834932926409
2024-099-00:08:24.000000000,0.00211501438346081,90.2117594381238,0.21177,0.572242,0.0106155149163147,0.0969176043713666,0.0974972368532731,4.86228513163119e-05,0.0381752480288698,0.0381752789937074,-0.00758599777891028,-0.0352485855607445,0.0360556534587124
2024-099-00:08:24.100000000,0.00275255784796216,90.2549251401398,0.25494,0.61863,-0.0127085756219896,0.12566630920205,0.1263072807197,-0.000403052899388388,0.041048505290751,0.0410504840196132,-0.0070944609029962,-0.0355362645886252,0.0362375147660117
2024-099-00:08:24.200000000,0.0032896009751021,90.2873941738887,0.287413,0.655799,-0.0172787048510488,0.133276318155627,0.134391705928787,-0.000792256712535798,0.0435805677282131,0.0435877684013753,-0.00675561930550425,-0.0336375413403244,0.0343092200381025
2024-099-00:08:24.300000000,0.0037137477760865,90.3119848974915,0.312007,0.681998,0.0062470731843802,0.143334225080925,0.143470296587553,-0.000393168962628001,0.0468021409711458,0.0468037923817737,-0.00695243448468039,-0.0312620799374673,0.0320258331239074
2024-099-00:08:24.400000000,0.00412049995411427,90.3319704289332,0.331996,0.711137,-0.00705261800602781,0.15817089480095,0.158328049892848,-0.000536370239788702,0.0499172075716913,0.0499200891905198,-0.00660880843499873,-0.0304068792597192,0.0311167905678856
2024-099-00:08:24.500000000,0.00443334644495971,90.347929756481,0.347958,0.730032,0.0095233087672034,0.170037225467922,0.170303703584815,-0.00017466064796511,0.0537086761977214,0.0537089601952378,-0.00680038221804041,-0.0281235288178368,0.0289340296446785
