"value","timestamp"
29374.4,"2009-10-10 16:43:52.904000000"
29148.6,"2009-10-10 16:44:08.904000000"
28913.8,"2009-10-10 16:44:24.905000000"
28661.3,"2009-10-10 16:44:40.904000000"
28396.8,"2009-10-10 16:44:56.904000000"
28096.6,"2009-10-10 16:45:12.904000000"
27805.4,"2009-10-10 16:45:28.904000000"
27475.6,"2009-10-10 16:45:44.905000000"
27136.8,"2009-10-10 16:46:00.904000000"
26807,"2009-10-10 16:46:16.904000000"
26447.4,"2009-10-10 16:46:32.904000000"
26081.9,"2009-10-10 16:46:48.904000000"
25704.5,"2009-10-10 16:47:04.905000000"
25321.2,"2009-10-10 16:47:20.904000000"
24928.9,"2009-10-10 16:47:36.904000000"
24536.6,"2009-10-10 16:47:52.904000000"
24129.5,"2009-10-10 16:48:08.904000000"
23722.4,"2009-10-10 16:48:24.905000000"
23288.6,"2009-10-10 16:48:40.904000000"
22872.5,"2009-10-10 16:48:56.904000000"
22429.8,"2009-10-10 16:49:12.904000000"
21995.9,"2009-10-10 16:49:28.904000000"
21553.1,"2009-10-10 16:49:44.905000000"
21101.5,"2009-10-10 16:50:00.904000000"
20634.9,"2009-10-10 16:50:16.904000000"
20159.5,"2009-10-10 16:50:32.904000000"
19684,"2009-10-10 16:50:48.904000000"
19196.7,"2009-10-10 16:51:04.905000000"
18712.3,"2009-10-10 16:51:20.904000000"
18174.4,"2009-10-10 16:51:36.904000000"
17654.4,"2009-10-10 16:51:52.904000000"
17119.5,"2009-10-10 16:52:08.904000000"
16575.7,"2009-10-10 16:52:24.905000000"
16005.1,"2009-10-10 16:52:40.904000000"
15437.6,"2009-10-10 16:52:56.904000000"
14855.1,"2009-10-10 16:53:12.904000000"
14248.9,"2009-10-10 16:53:28.904000000"
13630.8,"2009-10-10 16:53:44.905000000"
12991.9,"2009-10-10 16:54:00.904000000"
12353,"2009-10-10 16:54:16.904000000"
11675.5,"2009-10-10 16:54:32.904000000"
11009.8,"2009-10-10 16:54:48.904000000"
10299.6,"2009-10-10 16:55:04.905000000"
9589.41,"2009-10-10 16:55:20.904000000"
8855.42,"2009-10-10 16:55:36.904000000"
8106.57,"2009-10-10 16:55:52.904000000"
7345.84,"2009-10-10 16:56:08.904000000"
6573.22,"2009-10-10 16:56:24.905000000"
5803.57,"2009-10-10 16:56:40.904000000"
4974.49,"2009-10-10 16:56:56.904000000"
4181.07,"2009-10-10 16:57:12.904000000"
3351.98,"2009-10-10 16:57:28.904000000"
2534.79,"2009-10-10 16:57:44.905000000"
1726.51,"2009-10-10 16:58:00.904000000"
888.514,"2009-10-10 16:58:16.904000000"
38.631,"2009-10-10 16:58:32.904000000"
-793.398,"2009-10-10 16:58:48.904000000"
-1506.56,"2009-10-10 16:59:04.905000000"
-2332.65,"2009-10-10 16:59:20.904000000"
-3108.22,"2009-10-10 16:59:36.904000000"
-3892.7,"2009-10-10 16:59:52.904000000"
-4623.7,"2009-10-10 17:00:08.904000000"
-5333.89,"2009-10-10 17:00:24.905000000"
-6073.8,"2009-10-10 17:00:40.904000000"
-6804.8,"2009-10-10 17:00:56.904000000"
-7464.48,"2009-10-10 17:01:12.904000000"
-8150.9,"2009-10-10 17:01:28.904000000"
-8783.83,"2009-10-10 17:01:44.905000000"
-9384.08,"2009-10-10 17:02:00.904000000"
-9954.62,"2009-10-10 17:02:16.904000000"
-10462.7,"2009-10-10 17:02:32.904000000"
-10905.5,"2009-10-10 17:02:48.904000000"
-11318.5,"2009-10-10 17:03:04.905000000"
-11770.2,"2009-10-10 17:03:20.904000000"
-12147.6,"2009-10-10 17:03:36.904000000"
-12498.2,"2009-10-10 17:03:52.904000000"
-12822.1,"2009-10-10 17:04:08.904000000"
-13149,"2009-10-10 17:04:24.905000000"
-13449.1,"2009-10-10 17:04:40.904000000"
-13716.6,"2009-10-10 17:04:56.904000000"
-13918.6,"2009-10-10 17:05:12.904000000"
-14102.9,"2009-10-10 17:05:28.904000000"
-14254.4,"2009-10-10 17:05:44.905000000"
-14367.3,"2009-10-10 17:06:00.904000000"
-14432.7,"2009-10-10 17:06:16.904000000"
-14495.1,"2009-10-10 17:06:32.904000000"
-14512.9,"2009-10-10 17:06:48.904000000"
-14524.8,"2009-10-10 17:07:04.905000000"
-14518.9,"2009-10-10 17:07:20.904000000"
-14471.3,"2009-10-10 17:07:36.904000000"
-14411.9,"2009-10-10 17:07:52.904000000"
-14319.8,"2009-10-10 17:08:08.904000000"
-14224.7,"2009-10-10 17:08:24.905000000"
-14094,"2009-10-10 17:08:40.904000000"
-13954.3,"2009-10-10 17:08:56.904000000"
-13814.6,"2009-10-10 17:09:12.904000000"
-13677.9,"2009-10-10 17:09:28.904000000"
-13505.6,"2009-10-10 17:09:44.905000000"
-13321.4,"2009-10-10 17:10:00.904000000"
-13116.3,"2009-10-10 17:10:16.904000000"
-12929.1,"2009-10-10 17:10:32.904000000"
-12718.1,"2009-10-10 17:10:48.904000000"
-12492.3,"2009-10-10 17:11:04.905000000"
-12287.3,"2009-10-10 17:11:20.904000000"
-12082.2,"2009-10-10 17:11:36.904000000"
-11868.3,"2009-10-10 17:11:52.904000000"
-11651.4,"2009-10-10 17:12:08.904000000"
